"","source","type","lang","value","id"
"59","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0145"
"60","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1137"
"61","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0334"
"62","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0181"
"63","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1242"
"64","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0211"
"65","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0338"
"66","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0120"
"67","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1135"
"68","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1146"
"69","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1388"
"70","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1134"
"71","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0113"
"72","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0423"
"73","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0337"
"74","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0207"
"75","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1239"
"76","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1552"
"77","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1494"
"78","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1219"
"79","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1238"
"80","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1022"
"81","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1248"
"82","nvd@nist.gov","Primary","en","NVD-CWE-noinfo","CVE-1999-1302"
"83","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1303"
"84","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1304"
"85","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1305"
"86","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-2000-0508"
"87","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0077"
"88","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0232"
"89","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0235"
"90","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0242"
"91","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1098"
"92","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1243"
"93","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0151"
"94","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1080"
"95","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0066"
"96","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0161"
"97","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0172"
"98","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0203"
"99","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1580"
"100","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0164"
"101","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0155"
"102","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0245"
"103","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0218"
"104","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0073"
"105","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0099"
"106","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0241"
"107","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0080"
"108","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0123"
"109","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0316"
"110","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0325"
"111","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0208"
"112","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1186"
"113","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1319"
"114","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1491"
"115","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0103"
"116","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0143"
"117","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0233"
"118","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0142"
"119","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0067"
"120","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0141"
"121","nvd@nist.gov","Primary","en","NVD-CWE-noinfo","CVE-1999-0070"
"122","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1103"
"123","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0078"
"124","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0019"
"125","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1314"
"126","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1313"
"127","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0522"
"128","nvd@nist.gov","Primary","en","CWE-94","CVE-1999-0509"
"129","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1205"
"130","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1253"
"131","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0138"
"132","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0175"
"133","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0022"
"134","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0137"
"135","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1301"
"136","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1572"
"137","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0023"
"138","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0135"
"139","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0136"
"140","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1413"
"141","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0134"
"142","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0133"
"143","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0132"
"144","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0085"
"145","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1187"
"146","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1309"
"147","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0324"
"148","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1252"
"149","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0131"
"150","nvd@nist.gov","Primary","en","CWE-264","CVE-1999-1383"
"151","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1295"
"152","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0116"
"153","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0961"
"154","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0206"
"155","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0246"
"156","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0308"
"157","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0319"
"158","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0234"
"159","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0075"
"160","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0032"
"161","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0277"
"162","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1384"
"163","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0311"
"164","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0336"
"165","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1161"
"166","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0130"
"167","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1221"
"168","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1099"
"169","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1240"
"170","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0050"
"171","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0044"
"172","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0129"
"173","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0043"
"174","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1401"
"175","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0045"
"176","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0096"
"177","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0101"
"178","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0297"
"179","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1089"
"180","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0128"
"181","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0127"
"182","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1385"
"183","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1026"
"184","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0260"
"185","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1251"
"186","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0100"
"187","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0163"
"188","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0166"
"189","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0170"
"190","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0171"
"191","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0173"
"192","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0178"
"193","nvd@nist.gov","Primary","en","CWE-17","CVE-1999-0179"
"194","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0180"
"195","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0201"
"196","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0202"
"197","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0204"
"198","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0217"
"199","nvd@nist.gov","Primary","en","CWE-200","CVE-1999-0236"
"200","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0249"
"201","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0251"
"202","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0252"
"203","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0253"
"204","nvd@nist.gov","Primary","en","CWE-20","CVE-1999-0265"
"205","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0274"
"206","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0345"
"207","nvd@nist.gov","Primary","en","CWE-264","CVE-1999-0496"
"208","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0499"
"209","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0503"
"210","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0504"
"211","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0510"
"212","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0511"
"213","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0517"
"214","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0518"
"215","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0519"
"216","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0521"
"217","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0525"
"218","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0534"
"219","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0535"
"220","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0550"
"221","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0562"
"222","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0572"
"223","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0575"
"224","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0576"
"225","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0582"
"226","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0626"
"227","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1120"
"228","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0051"
"229","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1249"
"230","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1145"
"231","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1311"
"232","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0049"
"233","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1088"
"234","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0081"
"235","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0048"
"236","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0966"
"237","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0047"
"238","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1144"
"239","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0174"
"240","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0309"
"241","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0369"
"242","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0959"
"243","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1160"
"244","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1299"
"245","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0298"
"246","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0046"
"247","nvd@nist.gov","Primary","en","NVD-CWE-noinfo","CVE-1999-0228"
"248","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0109"
"249","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0041"
"250","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0868"
"251","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0105"
"252","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0106"
"253","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0165"
"254","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0318"
"255","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0612"
"256","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1128"
"257","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1489"
"258","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0299"
"259","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1408"
"260","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1525"
"261","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0280"
"262","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0292"
"263","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0315"
"264","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1387"
"265","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0042"
"266","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1298"
"267","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0058"
"268","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0149"
"269","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0038"
"270","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1296"
"271","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0040"
"272","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0112"
"273","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1116"
"274","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1380"
"275","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1267"
"276","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0039"
"277","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1067"
"278","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1398"
"279","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1461"
"280","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1286"
"281","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1410"
"282","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1158"
"283","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1184"
"284","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0962"
"285","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1141"
"286","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1232"
"287","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1402"
"288","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1191"
"289","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1449"
"290","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0037"
"291","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0259"
"292","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0036"
"293","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0064"
"294","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1143"
"295","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0034"
"296","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0035"
"297","nvd@nist.gov","Primary","en","NVD-CWE-noinfo","CVE-1999-0144"
"298","nvd@nist.gov","Primary","en","CWE-264","CVE-1999-0227"
"299","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0281"
"300","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0799"
"301","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0189"
"302","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0275"
"303","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0083"
"304","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0033"
"305","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0033"
"306","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1266"
"307","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0957"
"308","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1483"
"309","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1192"
"310","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1423"
"311","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0074"
"312","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0076"
"313","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0111"
"314","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0147"
"315","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0150"
"316","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0153"
"317","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0156"
"318","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0169"
"319","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0184"
"320","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0195"
"321","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0219"
"322","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0250"
"323","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0526"
"324","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0532"
"325","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0533"
"326","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0541"
"327","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0628"
"328","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1326"
"329","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0031"
"330","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0196"
"331","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0176"
"332","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1463"
"333","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0059"
"334","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0146"
"335","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0025"
"336","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0026"
"337","nvd@nist.gov","Primary","en","CWE-119","CVE-1999-0027"
"338","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0028"
"339","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0028"
"340","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0029"
"341","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0030"
